rank,name,category,seller,yahoo_price,coupon_discount,point_return,net_cost,is_clearance,mercari_median,mercari_min,profit_yen,profit_margin_pct,profit_small_post,is_profitable,yahoo_url
59,ヤマゼン　扇風機 DCモーター搭載 (省エネタイプ) 自動首振り機能あり 30cm 7枚 PD仕様 リモコン付き グレージュ　RLX-CP030-C,扇風機本体,コジマYahoo!店,6980,1000,598,5322,False,6750,6000,153,2.27,453,False,https://store.shopping.yahoo.co.jp/y-kojima/4550533145861.html
60,ヤマゼン　サーキュレーター扇風機 DCモーター搭載 (省エネタイプ) 23cm 7枚 PD仕様 リモコン付き ライトグレー　RLX-MP023-H,扇風機本体,コジマYahoo!店,6980,1000,598,5322,False,8500,8500,1728,20.33,2028,True,https://store.shopping.yahoo.co.jp/y-kojima/4550533145427.html
61,シィーネット　ハイポジ温度センサーDCリビング扇  ホワイト (35cm)　CFDH407WH,扇風機本体,コジマYahoo!店,9980,1000,898,7992,False,,,,,,False,https://store.shopping.yahoo.co.jp/y-kojima/4571102092713.html
62,ダイソン　dyson　DysonHot＋Cool HF1remotelinkpre-heatファンヒーター ［DCモーター搭載 / リモコン付き］ ホワイト/シルバー　AM15WS,扇風機本体,コジマYahoo!店,55500,1000,5450,48505,False,10000,1700,-40105,-401.05,-39805,False,https://store.shopping.yahoo.co.jp/y-kojima/5025155111949.html
63,SIROCA　加湿付き温冷風扇　シロカのなごみ　ホワイト　［リモコン付き］　SH-C252,扇風機本体,コジマYahoo!店,20790,1000,1979,17613,False,9999,3600,-9214,-92.15,-8914,False,https://store.shopping.yahoo.co.jp/y-kojima/4589919819881.html
84,ヤマゼン　衣類乾燥除湿機 コンプレッサー方式 7〜14畳目安 上下自動ルーバー タンク容量4.5L グレージュ　RCD-J60-C,除湿機,コジマYahoo!店,19580,1000,1858,16536,False,12500,9980,-5886,-47.09,-5586,False,https://store.shopping.yahoo.co.jp/y-kojima/4550533146349.html
64,SIROCA　シロカ 壁掛け扇風機 壁掛けふわビューン DCモーター搭載 自動首振り機能あり リモコン付き ホワイト　SF-W251,扇風機本体,コジマYahoo!店,12980,1000,1198,10662,False,6200,1300,-5682,-91.65,-5382,False,https://store.shopping.yahoo.co.jp/y-kojima/4589919849383.html
65,SWITCHBOT　スマートサーキュレーターLite ［DCモーター搭載 /リモコン付き］　W3800511,扇風機本体,コジマYahoo!店,10980,1000,998,8882,False,12000,691,1318,10.98,1618,True,https://store.shopping.yahoo.co.jp/y-kojima/0810150541441.html
78,ライフオンプロダクツ　Modern Collection パネライトサーキュレーター（6400lm） JAVALO ELF [リモコン付き /白色〜電球色]　JE-CF029,その他天井照明、シーリングライト,コジマYahoo!店,32780,1000,3178,28284,False,3700,1080,-25554,-690.65,-25254,False,https://store.shopping.yahoo.co.jp/y-kojima/4944370041743.html
66,クレイモア　卓上扇風機 DCモーター搭載 (省エネタイプ) FAN V600＋ 充電式 SAND BEIGE　CLFN-V610,扇風機本体,コジマYahoo!店,5980,1000,498,4432,False,5000,1300,-532,-10.64,-232,False,https://store.shopping.yahoo.co.jp/y-kojima/4589603333662.html
