rank,name,model,category,seller,yahoo_price,net_cost,mercapi_median,mercapi_count,yahooAuction_median,yahooAuction_count,conservative_median,shipping,profit_yen,profit_margin,is_profitable,confidence,total_count,yahoo_url
1,【売れ筋NO.1】 ハンディファン 携帯扇風機 扇風機 小型 -28℃ 冷却プレート 手持ち扇風機 90°折り畳み 100段階調整 6800mAh大容量 LED残量表示 24H連続 爆買,6800MAH,扇風機本体,Belando(Yahoo代理),2980,2257,2368,120,2980,20,2368,600,-726,-30.65,False,high,140,https://store.shopping.yahoo.co.jp/belando/fs-f25.html
2,【新色追加・2点購入で1点2780円】ハンディファン 手持ち扇風機 -25℃冷却 100段階風量 90°折り畳み 卓上扇風機 小型  携帯扇風機 冷却プレート付き,2780,扇風機本体,衆誠社(Yahoo代理),4780,3895,7345,120,6190,4,6190,600,1076,17.38,True,high,124,https://store.shopping.yahoo.co.jp/syuseisya/bh28f.html
4,ハンディクリーナー 掃除機 コードレス サイクロン 強力 吸引力 車 掃除機 ハンディ 軽い コードレス掃除機 ハンドクリーナー 小型掃除機,,ハンディークリーナー,おしゃれx健康x時短家電UENO-mono(Yahoo代理),5980,4987,,0,,0,,600,,,False,none,0,https://store.shopping.yahoo.co.jp/rin-spa/suiryu.html
5,テレビ紹介 扇風機 高速 冷却 ハンディファン PROMAX 卓上 USB 小型 携帯扇風機 クーラー 冷却プレート 冷却モード ハンディ扇風機 手持ち 長時間 cicibella,CICIBELLA,扇風機本体,KOISAMA(Yahoo代理),2980,2257,1375,120,945,4,945,600,-2006,-212.33,False,high,124,https://store.shopping.yahoo.co.jp/bobattapioca/e2-2.html
6,「クーポンで2480円」「雑誌掲載」ハンディファン 冷却プレート -28℃ 扇風機 小型 携帯扇風機 首掛け 卓上 手持ち扇風機 1-199風量調整 6000mAh 140°折り畳み,1-199,扇風機本体,HAGOOGI公式ショップ(Yahoo代理),3980,3167,9800,120,1380,10,1380,600,-2525,-182.97,False,high,130,https://store.shopping.yahoo.co.jp/hagoogishop/k12.html
7,【2点購入で1点あたり1780円】ハンディファン 携帯扇風機 扇風機 小型 冷却プレート 手持ち -25℃瞬間冷却 6000mAh大容量 12枚羽根 100段階暴風 Max20時間連続,6000MAH,扇風機本体,ARANET(Yahoo代理),3480,2712,2550,120,1816,4,1816,600,-1678,-92.38,False,high,124,https://store.shopping.yahoo.co.jp/aranet/b1h09.html
8,扇風機 小型 ハンディファン 卓上 手持ち 199段階風量調節 静音  電池残量表示 おしゃれ 携帯扇風機 ハンディ扇風機 USB アウトドア 屋外 熱中症 暑さ対策 2026,2026,扇風機本体,センス(Yahoo代理),3980,3167,949,120,900,3,900,600,-2957,-328.56,False,high,123,https://store.shopping.yahoo.co.jp/senseshopping/atusa01.html
16,"クーポンで1,490円〜 ハンディファン 冷却プレート ハンディーファン 首掛け 5way 離乳食 冷ます 卓上扇風機 首かけ扇風機 小型扇風機 携帯扇風機 首掛け扇風機",5WAY,扇風機本体,LFF PREMIUM(Yahoo代理),2980,2257,8200,120,2155,4,2155,600,-918,-42.58,False,high,124,https://store.shopping.yahoo.co.jp/premium-interior/lff-lafuture30c.html
17,ネッククーラー 冷却プレート付 マスク蒸れ対策 冷感 ひんやり マイナスイオン対応 扇風機 首かけ扇風機 首掛け扇風機 ネックファン ハンディファン 軽量,,扇風機本体,TUTUYO(Yahoo代理),4980,4077,,0,,0,,600,,,False,none,0,https://store.shopping.yahoo.co.jp/tutuyo/fsgbj010ba.html
24,ハンディファン 冷却プレート 携帯扇風機 冷風機 手持ち 扇風機 小型 首掛け 卓上 5000mAh 100段階調整 おしゃれ 静音 ギフト 冷却グッズ,5000MAH,扇風機本体,HAGOOGI公式ショップ(Yahoo代理),4280,3440,2425,120,5190,4,2425,600,-1858,-76.6,False,high,124,https://store.shopping.yahoo.co.jp/hagoogishop/ot-f17.html
