rank,name,model,category,seller,yahoo_price,net_cost,mercapi_median,mercapi_count,yahooAuction_median,yahooAuction_count,conservative_median,shipping,profit_yen,profit_margin,is_profitable,confidence,total_count,yahoo_url
3,スマホスタンド 折り畳み式 270度角度調整 持ち運びに便利 アルミニウム製「4〜10インチ対応」iPhone iPad Xperia スマホホルダー【PL保険加入済み製品・安心】,IPHONE,扇風機本体,明誠ショップ(Yahoo代理),2980,2257,6000,120,15250,2,6000,600,2543,42.38,True,high,122,https://store.shopping.yahoo.co.jp/meiseishop/451.html
9,サーキュレーター dc 扇風機 dcモーター 26畳 静音 洗える 首振り 3D 熱中症対策 静か 省エネ 360 おしゃれ 換気 送風 節電 衣類乾燥 2026,2026,扇風機本体,Earth Wing(Yahoo代理),5980,4987,949,120,900,3,900,600,-4777,-530.78,False,high,123,https://store.shopping.yahoo.co.jp/discount-spirits2/000000121840-01.html
10,サーキュレーター アイリスオーヤマ パワフル送風 8畳 上下角度調整 扇風機 軽量 コンパクト 衣類乾燥 換気 マカロン型 WOOZOO PCF-MKM15N #,PCF-MKM15N,サーキュレーター,メガストア Yahoo!店(Yahoo代理),2680,1984,1900,114,3098,20,1900,600,-874,-46.0,False,high,134,https://store.shopping.yahoo.co.jp/petkan/m271116.html
11,扇風機 リビング扇風機 おしゃれ 山善 左右首振り 風量3段階 押しボタン 切りタイマー  YLT-AG30E 30cm サーキュレーター 静音 節電,YLT-AG30E,扇風機本体,くらしのeショップ(Yahoo代理),3990,3176,3000,11,7020,20,3000,600,-1076,-35.87,False,high,31,https://store.shopping.yahoo.co.jp/e-kurashi/xtc06.html
12,除湿機 衣類乾燥 小型 家庭用 静音 サーキュレーター除湿機 アイリスオーヤマ デシカント式 除湿器 部屋干しIJD-I50 IJDC-N50,IJDC-N50,除湿機,ウエノ電器 Yahoo!店(Yahoo代理),19800,17563,10000,37,13310,20,10000,1200,-9763,-97.63,False,high,57,https://store.shopping.yahoo.co.jp/insdenki-y/274018.html
13,扇風機 サーキュレーター 洗える 24畳 360 首振り 3D 静音 リビングファン おしゃれ 首振り タイマー 節電 省エネ 熱中症対策 衣類乾燥 2026,2026,扇風機本体,Earth Wing(Yahoo代理),4880,3986,949,120,900,3,900,600,-3776,-419.56,False,high,123,https://store.shopping.yahoo.co.jp/discount-spirits2/000000121839-copy.html
14,本日P+4% サーキュレーター マイナスイオン搭載 プレミアムタイプ DCモーター 26畳 リモコン付き 360°首振り 扇風機 ファン 節電 360度首振り 節電 爆買,,サーキュレーター,モダンデコ(Yahoo代理),6999,5914,,0,,0,,600,,,False,none,0,https://store.shopping.yahoo.co.jp/don2/yy02.html
15,MAX50%OFFクーポン Lafuture ネッククーラー 冷却プレート ネックファン 首掛け扇風機 ペルチェ式 首かけ扇風機 首掛けファン 扇風機 ポータブルクーラー,LAFUTURE,ネッククーラー,LFF PREMIUM(Yahoo代理),12980,11357,1350,120,1620,17,1350,600,-10742,-795.7,False,high,137,https://store.shopping.yahoo.co.jp/premium-interior/lff-lb02.html
18,＼即納／ (クーポン配布中) 首掛け扇風機 (日本メーカー) 首かけ扇風機 -15℃瞬間冷却プレート ネックファン ネッククーラー 2026年 携帯扇風機 羽なし 大風量,2026,扇風機本体,いいねONLINE公式 Yahoo!店(Yahoo代理),4990,4086,949,120,800,4,800,600,-3966,-495.75,False,high,124,https://store.shopping.yahoo.co.jp/excitech/exci-neck-cooler-001.html
19,多機能扇風機 4800mAh大容量 首掛け扇風機 ネッククーラー 扇風機 ファン 1台4役 首掛け 腰掛け 手持ち 卓上 ハンズフリー扇風機 連続14時間稼動 3段階風量調節,4800MAH,扇風機本体,TUTUYO(Yahoo代理),2590,1902,1924,120,1880,20,1880,600,-810,-43.09,False,high,140,https://store.shopping.yahoo.co.jp/tutuyo/fsgyf858.html
20,クーポンで1点980円〜 氷嚢 持ち運び 氷のう 携帯 ネッククーラー 首 冷やす スポーツ 水筒 魔法瓶 保冷 アイシングバッグ アイスパック 熱中症対策グッズ,,保冷枕、アイシング、水枕,LFF PREMIUM(Yahoo代理),3280,2530,,0,,0,,600,,,False,none,0,https://store.shopping.yahoo.co.jp/premium-interior/lff-bottle-g.html
21,扇風機 リビング おしゃれ テクノス 首振り タイマー付き メカ式 5枚羽根 3段調整 風量 冷房 サーキュレーター 寝室 TEKNOS,TEKNOS,扇風機本体,メガストア Yahoo!店(Yahoo代理),3650,2866,4000,120,1650,4,1650,600,-1981,-120.06,False,high,124,https://store.shopping.yahoo.co.jp/petkan/7094381.html
22,サーキュレーター アイリスオーヤマ WOOZOO 自動 左右 首振り 全分解 洗える お手入れ簡単 パワフル送風 衣類乾燥 部屋干し PCF-MKM15EC *,PCF-MKM15EC,サーキュレーター,ウエノ電器 Yahoo!店(Yahoo代理),3480,2712,2900,9,3315,8,2900,600,-702,-24.21,False,high,17,https://store.shopping.yahoo.co.jp/insdenki-y/p271085.html
23,扇風機 卓上 DCモーター サーキュレーター 小型 静音 壁掛け 2way 自動首振り 扇風機 USB コンパクト オフィス 換気 送風 衣類乾燥 空気循環 軽量 省エネ 冷房,2WAY,扇風機本体,サインキングダム(Yahoo代理),2680,1984,5750,120,2500,4,2500,600,-334,-13.36,False,high,124,https://store.shopping.yahoo.co.jp/signkingdom/xr-jd14.html
25,冷風機 ひんやり冷風 切タイマー 卓上扇風機 静音 扇風機 スポットクーラー 冷風扇風機 卓上冷風扇 5段階風量調節 USB給電式 風向調整可 LEDライト機能,,扇風機本体,TUTUYO(Yahoo代理),4480,3622,,0,,0,,600,,,False,none,0,https://store.shopping.yahoo.co.jp/tutuyo/lfjf8550.html
26,扇風機 冷風機 風量3段階調整 上下左右首振り OFFタイマー 静音 節電 省エネ メカ式 テクノス おしゃれ  リビングファン KI-1710,KI-1710,扇風機本体,ウエノ電器 Yahoo!店(Yahoo代理),2980,2257,3210,20,3385,14,3210,600,32,1.0,False,high,34,https://store.shopping.yahoo.co.jp/insdenki-y/7094381.html
27,本日+4% 在庫一掃プライス スポットクーラー 猛暑対応 ポータブルエアコン ポータブルクーラー スポットエアコン 窓用エアコン 移動式エアコン エアコン 業務用,,家庭用エアコン,タンスのゲン Design the Future(Yahoo代理),26999,24114,,0,,0,,2500,,,False,none,0,https://store.shopping.yahoo.co.jp/tansu/79800000.html
28,扇風機 小型 冷風機 冷風扇 噴霧機能 瞬間冷却 送風 加湿 空気循環 部屋干し ナイトライト 省エネ 卓上扇風機 ミニクーラー 軽量 静音 卓上エアコン 暑さ対策,,扇風機本体,Lovely Brown(Yahoo代理),5780,4805,,0,,0,,600,,,False,none,0,https://store.shopping.yahoo.co.jp/lovely-brown/xmfengs-b6.html
