rank,name,category,seller,model,yahoo_price,net_cost,is_clearance,mercari_median,mercari_count,yahooAuction_median,yahooAuction_count,conservative_median,avg_median,profit_yen,profit_margin_pct,profit_small_post,is_profitable,yahoo_url
50,SIROCA　ハンディファン ティール　SF-H631AG,扇風機本体,コジマYahoo!店,SF-H631AG,2530,1362,False,,0,2530,2,2530,2530,315,12.45,615,True,https://store.shopping.yahoo.co.jp/y-kojima/4589919844265.html
51,多摩電子工業　折りたたみハンディファン オリオンビールコラボモデル ネックストラップ付き 卓上 グレー　ACP5-ORH,扇風機本体,コジマYahoo!店,ACP5-ORH,2850,1646,False,,0,2850,2,2850,2850,319,11.19,619,True,https://store.shopping.yahoo.co.jp/y-kojima/4518707317759.html
52,多摩電子工業　折りたたみハンディファン オリオンビールコラボモデル ネックストラップ付き 卓上 ホワイト　ACP5-ORW,扇風機本体,コジマYahoo!店,ACP5-ORW,2850,1646,False,3344,2,2850,2,2850,3097,319,11.19,619,True,https://store.shopping.yahoo.co.jp/y-kojima/4518707317742.html
53,SIROCA　冷却プレート付きハンディファン ダークネイビー　SF-H751-AD,扇風機本体,コジマYahoo!店,SF-H751-AD,2907,1697,False,,0,2907,1,2907,2907,319,10.98,619,True,https://store.shopping.yahoo.co.jp/y-kojima/4589919850167.html
54,SIROCA　冷却プレート付きハンディファン ミルクティー　SF-H751-CH,扇風機本体,コジマYahoo!店,SF-H751-CH,2907,1697,False,,0,2980,2,2980,2980,385,12.92,685,True,https://store.shopping.yahoo.co.jp/y-kojima/4589919850174.html
55,コンピューケースジャパン　USBハンディファン agreen マーブルグリーン　JUF-KF07-MGR,扇風機本体,コジマYahoo!店,JUF-KF07-MGR,2980,1762,False,,0,2980,1,2980,2980,320,10.74,620,True,https://store.shopping.yahoo.co.jp/y-kojima/4541995040535.html
56,SIROCA　冷却プレート付きハンディファン ホワイト　SF-H751-W,扇風機本体,コジマYahoo!店,SF-H751-W,2907,1697,False,2204,2,2399,6,2204,2302,-313,-14.22,-13,False,https://store.shopping.yahoo.co.jp/y-kojima/4589919850181.html
57,ユアサ　折り畳み 5WAYハンディファン パワフル風量　YM-7020HS-A,扇風機本体,コジマYahoo!店,YM-7020HS-A,3980,2652,False,3000,3,3980,1,3000,3490,-552,-18.4,-252,False,https://store.shopping.yahoo.co.jp/y-kojima/4979966573988.html
58,ヤマゼン　サーキュレーター扇風機 DCモーター搭載 (省エネタイプ) 23cm 7枚 PD仕様 リモコン付き グレージュ　RLX-MP023-C,扇風機本体,コジマYahoo!店,RLX-MP023-C,6980,5322,False,8666,5,7600,8,7600,8133,918,12.08,1218,True,https://store.shopping.yahoo.co.jp/y-kojima/4550533145441.html
59,ヤマゼン　扇風機 DCモーター搭載 (省エネタイプ) 自動首振り機能あり 30cm 7枚 PD仕様 リモコン付き グレージュ　RLX-CP030-C,扇風機本体,コジマYahoo!店,RLX-CP030-C,6980,5322,False,6490,8,7800,10,6490,7145,-81,-1.25,219,False,https://store.shopping.yahoo.co.jp/y-kojima/4550533145861.html
60,ヤマゼン　サーキュレーター扇風機 DCモーター搭載 (省エネタイプ) 23cm 7枚 PD仕様 リモコン付き ライトグレー　RLX-MP023-H,扇風機本体,コジマYahoo!店,RLX-MP023-H,6980,5322,False,7740,2,6980,2,6980,7360,360,5.16,660,False,https://store.shopping.yahoo.co.jp/y-kojima/4550533145427.html
61,シィーネット　ハイポジ温度センサーDCリビング扇  ホワイト (35cm)　CFDH407WH,扇風機本体,コジマYahoo!店,CFDH407WH,9980,7992,False,3888,4,11330,4,3888,7609,-5093,-130.99,-4793,False,https://store.shopping.yahoo.co.jp/y-kojima/4571102092713.html
62,ダイソン　dyson　DysonHot＋Cool HF1remotelinkpre-heatファンヒーター ［DCモーター搭載 / リモコン付き］ ホワイト/シルバー　AM15WS,扇風機本体,コジマYahoo!店,HF1REMOTELINKPRE-HEAT,55500,48505,False,,0,55500,4,55500,55500,845,1.52,1145,False,https://store.shopping.yahoo.co.jp/y-kojima/5025155111949.html
63,SIROCA　加湿付き温冷風扇　シロカのなごみ　ホワイト　［リモコン付き］　SH-C252,扇風機本体,コジマYahoo!店,SH-C252,20790,17613,False,8000,12,7480,10,7480,7740,-11481,-153.49,-11181,False,https://store.shopping.yahoo.co.jp/y-kojima/4589919819881.html
84,ヤマゼン　衣類乾燥除湿機 コンプレッサー方式 7〜14畳目安 上下自動ルーバー タンク容量4.5L グレージュ　RCD-J60-C,除湿機,コジマYahoo!店,RCD-J60-C,19580,16536,False,12250,12,19168,6,12250,15709,-6111,-49.89,-5811,False,https://store.shopping.yahoo.co.jp/y-kojima/4550533146349.html
64,SIROCA　シロカ 壁掛け扇風機 壁掛けふわビューン DCモーター搭載 自動首振り機能あり リモコン付き ホワイト　SF-W251,扇風機本体,コジマYahoo!店,SF-W251,12980,10662,False,5625,4,10000,10,5625,7812,-6200,-110.21,-5900,False,https://store.shopping.yahoo.co.jp/y-kojima/4589919849383.html
65,SWITCHBOT　スマートサーキュレーターLite ［DCモーター搭載 /リモコン付き］　W3800511,扇風機本体,コジマYahoo!店,SWITCHBOT,10980,8882,False,2700,12,,0,2700,2700,-7052,-261.19,-6752,False,https://store.shopping.yahoo.co.jp/y-kojima/0810150541441.html
28,ライフオンプロダクツ　Modern Collection パネライトサーキュレーター（6400lm） JAVALO ELF [リモコン付き /白色〜電球色]　JE-CF029,扇風機本体,コジマYahoo!店,JE-CF029,32780,28284,False,21500,3,32780,11,21500,27140,-9534,-44.34,-9234,False,https://store.shopping.yahoo.co.jp/y-kojima/JE-CF029.html
29,クレイモア　卓上扇風機 DCモーター搭載 (省エネタイプ) FAN V600＋ 充電式 SAND BEIGE　CLFN-V610,扇風機本体,コジマYahoo!店,CLFN-V610,5980,4432,False,5500,12,7030,10,5500,6265,-82,-1.49,218,False,https://store.shopping.yahoo.co.jp/y-kojima/CLFN-V610.html
