rank,retailer,query,name,model,category,yahoo_price,net_cost,mercapi_median,mercapi_count,yahooAuction_median,yahooAuction_count,conservative_median,shipping,profit_yen,profit_margin,is_profitable,confidence,total_count,yahoo_url
153,ケーズデンキ,スマホケース iPhone,ジャンプスターター 12V車用エンジンスターター 20000mAh 大容量 iPhone17充電 急速充電 防災電源 PSE認証【PL保険加入済み製品・安心】,IPHONE17,自動車用エンジンスターター,9800,7832,2000,120,57556,2,2000,600,-6632,-331.6,False,high,122,https://store.shopping.yahoo.co.jp/meiseishop/696a1.html
81,ヨドバシカメラ,iPhone 15,ヘッドレストモニター DVDプレーヤー 10.1インチ 車 dvd 後部座席 モニター SONY製光学レンズ採用 CPRM 対応 リアモニター 送料無 HA103D,HA103D,モニター,14900,12371,8290,2,132550,10,8290,600,-5510,-66.47,False,high,12,https://store.shopping.yahoo.co.jp/lightingworld/ha103d.html
121,ケーズデンキ,iPhone 15,ヘッドレストモニター DVDプレーヤー 10.1インチ 車 dvd 後部座席 モニター SONY製光学レンズ採用 CPRM 対応 リアモニター 送料無 HA103D,HA103D,モニター,14900,12371,8290,2,132550,10,8290,600,-5510,-66.47,False,high,12,https://store.shopping.yahoo.co.jp/lightingworld/ha103d.html
76,ノジマ,モバイルバッテリー 20000mAh,空調冷風服 2026年最新 20000mAh 超高出力 8V〜30Vまで調整可能  UPF50+ 最大約17時稼働 通気 速乾 S〜7L 晴天 晴空 調 服色 プレゼント  【COVELL公式直営店】,20000MAH,電動ファン付きウエア,12980,10662,4100,120,3280,1,3280,600,-8310,-253.35,False,high,121,https://store.shopping.yahoo.co.jp/lyq/16vtz.html
116,ヨドバシカメラ,モバイルバッテリー 20000mAh,空調冷風服 2026年最新 20000mAh 超高出力 8V〜30Vまで調整可能  UPF50+ 最大約17時稼働 通気 速乾 S〜7L 晴天 晴空 調 服色 プレゼント  【COVELL公式直営店】,20000MAH,電動ファン付きウエア,12980,10662,4425,120,3280,1,3280,600,-8310,-253.35,False,high,121,https://store.shopping.yahoo.co.jp/lyq/16vtz.html
156,ケーズデンキ,モバイルバッテリー 20000mAh,空調冷風服 2026年最新 20000mAh 超高出力 8V〜30Vまで調整可能  UPF50+ 最大約17時稼働 通気 速乾 S〜7L 晴天 晴空 調 服色 プレゼント  【COVELL公式直営店】,20000MAH,電動ファン付きウエア,12980,10662,4425,120,3280,1,3280,600,-8310,-253.35,False,high,121,https://store.shopping.yahoo.co.jp/lyq/16vtz.html
65,ノジマ,中古スマホ,冷蔵庫 一人暮らし 小型冷蔵庫 ミニ冷蔵庫 小型 小さめ 45L 製氷 アイリスオーヤマ IRSD-5A-W IRSD-5AL-W IRSD-5A-B 節電 省エネ 節電対策,IRSD-5AL-W,冷蔵庫,20330,17204,6450,6,20330,6,6450,600,-11999,-186.03,False,high,12,https://store.shopping.yahoo.co.jp/insdenki-y/572488.html
74,ノジマ,スマホケース iPhone,iphone11 手帳型 ケース メンズ レディース 本革 栃木レザー iPhone11 Pro ProMax iPhoneX Xs XsMax XR  スマホケース 落下防止 日本製 HUKURO,IPHONE11,iPhone用ケース,8910,7040,18250,120,18228,3,18228,300,9065,49.73,True,high,123,https://store.shopping.yahoo.co.jp/jacajaca/hu-ip058.html
105,ヨドバシカメラ,中古スマホ,冷蔵庫 一人暮らし 小型冷蔵庫 ミニ冷蔵庫 小型 小さめ 45L 製氷 アイリスオーヤマ IRSD-5A-W IRSD-5AL-W IRSD-5A-B 節電 省エネ 節電対策,IRSD-5AL-W,冷蔵庫,20330,17204,6450,6,20330,6,6450,600,-11999,-186.03,False,high,12,https://store.shopping.yahoo.co.jp/insdenki-y/572488.html
114,ヨドバシカメラ,スマホケース iPhone,iphone11 手帳型 ケース メンズ レディース 本革 栃木レザー iPhone11 Pro ProMax iPhoneX Xs XsMax XR  スマホケース 落下防止 日本製 HUKURO,IPHONE11,iPhone用ケース,8910,7040,18250,120,18228,3,18228,300,9065,49.73,True,high,123,https://store.shopping.yahoo.co.jp/jacajaca/hu-ip058.html
145,ケーズデンキ,中古スマホ,冷蔵庫 一人暮らし 小型冷蔵庫 ミニ冷蔵庫 小型 小さめ 45L 製氷 アイリスオーヤマ IRSD-5A-W IRSD-5AL-W IRSD-5A-B 節電 省エネ 節電対策,IRSD-5AL-W,冷蔵庫,20330,17204,6450,6,20330,6,6450,600,-11999,-186.03,False,high,12,https://store.shopping.yahoo.co.jp/insdenki-y/572488.html
154,ケーズデンキ,スマホケース iPhone,iphone11 手帳型 ケース メンズ レディース 本革 栃木レザー iPhone11 Pro ProMax iPhoneX Xs XsMax XR  スマホケース 落下防止 日本製 HUKURO,IPHONE11,iPhone用ケース,8910,7040,18250,120,18228,3,18228,300,9065,49.73,True,high,123,https://store.shopping.yahoo.co.jp/jacajaca/hu-ip058.html
82,ヨドバシカメラ,iPhone 15,サウンドバー スピーカー Bluetooth テレビスピーカー TV ブルートゥース PC コンパクト 50W ホームシアター 高音質 400-SP088,BLUETOOTH,ホームシアタースピーカー,8480,6657,1365,120,24900,3,1365,600,-6028,-441.65,False,high,123,https://store.shopping.yahoo.co.jp/sanwadirect/400-sp088.html
122,ケーズデンキ,iPhone 15,サウンドバー スピーカー Bluetooth テレビスピーカー TV ブルートゥース PC コンパクト 50W ホームシアター 高音質 400-SP088,BLUETOOTH,ホームシアタースピーカー,8480,6657,1275,120,24900,3,1275,600,-6110,-479.18,False,high,123,https://store.shopping.yahoo.co.jp/sanwadirect/400-sp088.html
