rank,name,category,yahoo_price,coupon_discount,point_return,net_cost,mercari_median,mercari_min,profit_yen,profit_margin_pct,is_profitable,yahoo_url
1,ケノン 公式 脱毛器 ランキング1位 日本製 家庭用 最新バージョン 光美容器 KE-NON メンズ 髭 VIO 対応 おすすめ 口コミ 美顔器 コスパ 安い 8.7,除毛、脱毛器,79800,1000,7880,70132,19800,2950,-52912,-267.23,False,https://store.shopping.yahoo.co.jp/mrock/kenon.html
2,"【1kg 12,800円/ 選べる1~3kg】特大タラバガニ 2-3人前〜 たらば かに カニ 蟹 プレゼント ギフト 贈り物 お祝い  贈答父の日 お中元 敬老の日 お歳暮 爆買",タラバガニ,35000,1000,3400,30260,,,,,False,https://store.shopping.yahoo.co.jp/sfd-ymd/bt-00014.html
3,5日+5% 羽毛布団 シングル ロング 掛け布団 洗える 冬用 掛けふとん 日本製 羽毛ふとん ホワイトダックダウン93％ 羽毛掛け布団 99907309 かけふとん,掛け布団,21999,1000,2100,18689,,,,,False,https://store.shopping.yahoo.co.jp/tansu/10119003.html
4,法人様限定商品！（個人様対象外です）送料無料！　トヨタ　キャッスル　オイル　ＳＰ　ＧＦ−６Ａ　 ５Ｗ−３０ 　２０Ｌ （税込）ガソリン専用　08880-14103,エンジンオイル,21500,1000,2050,18245,15900,1000,-4535,-28.52,False,https://store.shopping.yahoo.co.jp/partsnet/e0001.html
5,ブラザー家庭用ミシン コンピューターミシン PS202X / PS203X / PS205X / PS207X 糸・針・ボビンの特典付！,コンピューターミシン,24850,1000,716,22896,13400,1700,-11436,-85.34,False,https://store.shopping.yahoo.co.jp/mishin-shop/999-ps205s.html
6,ポータブル電源 RIVER 2 Pro 768Wh+160W軽量両面ソーラーパネル リン酸鉄 バッテリー 急速充電 防災 キャンプ EcoFlow エコフロー,自動車用　バッテリー充電器、発電機,132000,1000,13100,116590,33500,28000,-87040,-259.82,False,https://store.shopping.yahoo.co.jp/ecoflow/river600pro.html
7,米 30kg 5kg×6袋セット お米 玄米 ゆめぴりか 北海道産 玄米 白米 分づき米 令和7年産 送料無料,うるち米、玄米,23880,1000,2288,20363,16000,2460,-6563,-41.02,False,https://store.shopping.yahoo.co.jp/ginsyariya/gen-012.html
8,米  令和7年 プレミアム魚沼コシヒカリ「極み」 玄米 30kg 送料無料,うるち米、玄米,52000,1000,5100,45390,16000,2460,-31590,-197.44,False,https://store.shopping.yahoo.co.jp/komenouka/tokubetsu1.html
9,5日+5% 羽毛布団 シングル ロング 洗える 掛け布団 冬用 冬 日本製 増量1.2キロ ホワイトダックダウン93％ 暖かい 羽毛 99907316,掛け布団,26999,1000,2600,23139,,,,,False,https://store.shopping.yahoo.co.jp/tansu/10119058.html
10,トゥルースリーパー プレミアム シングル 送料無料 True Sleeper マットレス 低反発マットレス ショップジャパン SHOPJAPAN,ノンスプリングマットレス,25080,1000,2408,21431,9500,1800,-13481,-141.91,False,https://store.shopping.yahoo.co.jp/shopjapan/trsp-ssr.html
